Angle (deg), Distance (mm)
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-58,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-57,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-56,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-55,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-54,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-53,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-52,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-51,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-50,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-49,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-48,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-47,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,326
-46,267
-46,267
-46,267
-46,267
-46,267
-46,267
-46,267
-46,267
-46,267
-46,267
-45,267
-45,267
-45,267
-45,267
-45,267
-45,267
-45,267
-45,267
-45,267
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,269
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-45,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-44,265
-43,265
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-43,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,259
-42,257
-42,257
-42,257
-42,257
-42,257
-42,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-41,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-40,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-39,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-38,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-37,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-36,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,257
-35,251
-35,251
