Angle (deg), Distance (mm)
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,718
-41,722
-41,722
-41,722
-41,722
-41,722
-41,722
-41,722
-41,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,718
-40,722
-40,722
-40,722
-39,722
-39,722
-39,722
-39,722
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-39,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-38,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-37,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-36,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-35,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,718
-34,714
-34,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-33,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-32,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,714
-31,712
-31,712
-31,712
-30,712
-30,712
-30,712
-30,712
-30,712
-30,712
-30,712
-30,712
-30,712
-30,326
-30,326
-30,326
-30,326
-30,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,259
-22,259
-22,259
-22,259
-22,259
-22,257
-22,257
-22,257
-22,257
-22,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,257
-21,251
-21,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-20,251
-19,251
-19,251
-19,251
-19,251
-19,251
-19,251
-19,251
-19,249
-19,249
-19,249
-19,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-18,249
-17,249
-17,249
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-17,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-16,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,243
-15,236
-15,236
-15,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-14,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-13,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-12,236
-11,236
-11,236
-11,236
-11,236
-11,236
-11,236
-11,236
-11,235
-11,235
-11,235
-11,235
-11,235
-10,235
-10,235
-10,235
-10,235
-10,235
-10,235
-10,235
-10,235
-10,235
-10,233
-10,233
-10,233
-10,233
-10,233
-10,233
-10,233
-10,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-9,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-8,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,233
-7,229
-7,229
-7,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-6,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-5,229
-4,229
-4,229
-4,229
-4,229
-4,229
-4,229
-4,229
-4,229
-4,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-3,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-2,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
-1,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
0,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
1,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
2,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
3,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
4,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
5,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
6,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
7,229
8,229
8,229
8,229
8,229
8,229
8,229
8,229
8,229
8,229
8,233
8,233
8,233
8,233
8,233
8,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
9,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
10,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
11,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
12,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
13,233
14,233
14,233
14,233
14,233
14,233
14,234
14,234
14,234
14,234
14,234
14,237
14,237
14,237
