Angle (deg), Distance (mm)
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-40,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-39,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,670
-37,670
-37,670
-37,670
-37,670
-36,670
-36,670
-36,670
-36,670
-36,616
-36,616
-36,616
-36,616
-36,616
-36,616
-36,590
-36,590
-36,590
-36,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-33,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-32,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-31,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-30,590
-29,590
-29,590
-29,561
-29,561
-29,561
-29,561
-29,561
-29,561
-29,561
-29,561
-29,561
-29,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-28,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-27,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-26,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-25,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-24,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-23,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-22,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-21,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-20,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-19,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-18,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-17,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-16,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-15,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,561
-14,567
-14,567
-14,567
-14,567
-14,567
-14,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-13,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-12,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-11,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-10,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-9,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-8,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-7,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
-6,567
