Angle (deg), Distance (mm)
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-40,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-39,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-38,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-37,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-36,660
-35,660
-35,660
-35,660
-35,660
-35,660
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
