Angle (deg), Distance (mm)
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-40,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-39,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-38,744
-37,744
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,740
-37,744
-36,744
-36,744
-36,744
-36,744
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-36,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-35,740
-34,744
-34,744
-34,744
-34,744
-34,744
-34,744
-34,744
-34,744
-34,744
-34,744
-34,748
-34,748
-34,748
-34,748
-34,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-33,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-32,748
-31,748
-31,748
-31,748
-31,748
-31,348
-31,348
-31,348
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,722
-28,722
-28,722
-28,722
-28,722
-28,722
-28,722
-28,326
-28,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,321
-26,321
-26,321
-26,321
-26,321
-26,340
-26,340
-26,340
-25,340
-25,340
-25,340
-25,713
-25,713
-25,713
-25,713
-25,713
-25,713
-25,349
-25,349
-25,349
-25,349
-25,349
-25,349
-25,336
-24,336
-24,336
-24,336
-24,336
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,324
-20,324
-20,324
-20,324
-20,324
-19,324
-19,326
-19,326
-19,326
-19,326
-19,326
-19,326
-19,326
-19,326
-19,326
-19,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-18,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-16,326
-16,326
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,321
-16,328
-16,328
-15,328
-15,328
-15,328
-15,328
