Angle (deg), Distance (mm)
-61,778
-60,774
-59,779
-58,779
-57,792
-56,792
-55,826
-54,810
-53,810
-52,810
-51,810
-50,810
-49,810
-48,810
-47,810
-46,810
-45,877
-44,877
-43,831
-42,831
-41,831
-40,831
-39,831
-38,831
-37,831
-36,831
-35,443
-34,443
-33,452
-32,447
-31,447
-30,326
-29,326
-28,427
-27,326
-26,326
-25,326
-24,326
-23,326
-22,326
-21,326
-20,326
-19,326
-18,326
-17,326
-16,326
-15,326
-14,326
-13,326
-12,326
-11,326
-10,326
-9,263
-8,263
-7,259
-6,259
-5,255
-4,243
-3,243
-2,249
-1,242
0,242
1,249
2,243
3,243
4,243
5,249
6,249
7,249
8,255
9,255
10,255
11,255
12,259
13,255
14,259
15,259
16,259
17,259
18,326
19,326
20,326
21,326
22,326
23,326
24,326
25,326
26,326
27,326
28,326
29,326
30,326
31,326
32,326
33,428
34,428
35,427
36,427
37,427
38,424
39,425
40,420
41,420
42,429
43,435
44,436
45,439
46,439
47,462
48,462
49,462
50,462
51,462
52,462
53,462
54,462
55,462
56,462
57,462
58,462
59,462
60,462
