Angle (deg), Distance (mm)
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-41,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-40,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-39,321
-38,321
-38,321
-38,321
-38,321
-38,321
-38,321
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-38,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-37,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-36,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-35,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-34,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-33,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-32,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-31,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-30,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,321
-23,321
-23,321
-23,321
-23,321
-23,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-22,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-21,304
-20,304
-20,304
-20,304
-20,304
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-20,297
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-19,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,296
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-17,290
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-14,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-13,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-12,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-11,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-10,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,286
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-9,285
-8,285
-8,285
-8,285
-8,285
-8,285
-8,285
-8,285
-8,285
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,286
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-8,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-7,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,280
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-5,273
-5,273
