Angle (deg), Distance (mm)
-40,670
-40,670
-40,670
-40,670
-40,670
-40,670
-40,670
-40,670
-40,670
-40,672
-40,672
-40,672
-40,672
-40,672
-40,672
-40,672
-40,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,670
-39,670
-39,670
-39,670
-38,670
-38,670
-38,670
-38,670
-38,670
-38,670
-38,670
-38,670
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,670
-37,672
-37,672
-37,672
-37,672
-37,672
-36,672
-36,672
-36,672
-36,672
-36,672
-36,672
-36,670
-36,670
-36,670
-36,670
-36,670
-36,672
-36,672
-36,672
-35,672
-35,672
-35,672
-35,672
-35,672
-35,672
-35,672
-35,672
-35,672
-35,670
-35,670
-35,670
-35,670
-35,670
-35,670
-35,670
-35,670
-35,670
-34,670
-34,670
-34,672
-34,672
-34,672
-34,672
-34,672
-34,672
-34,672
-34,670
-34,670
-34,670
-34,670
-34,670
-34,670
-33,328
-33,328
-33,328
-33,328
-33,328
-33,672
-33,672
-33,672
-33,672
-33,672
-33,677
-33,677
-33,677
-33,677
-33,677
-32,677
-32,321
-32,321
-32,321
-32,321
-32,321
-32,321
-32,321
-32,321
-32,321
-32,321
-32,326
-31,326
-31,326
-31,326
-31,326
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-31,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,321
-30,326
-30,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,326
-29,321
-29,321
-29,321
-29,321
-29,321
-29,321
-28,321
-28,321
-28,321
-28,321
-28,321
-28,321
-28,321
-28,321
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-28,326
-27,326
-27,326
-27,326
-27,321
-27,321
-27,321
-27,321
-27,321
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-27,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-26,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-25,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-24,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-21,326
-21,326
-21,326
-21,326
-21,326
-21,326
-21,326
-21,326
-21,326
-21,322
-21,322
-21,322
-21,322
-21,322
-21,322
-21,298
-21,298
-20,298
-20,298
-20,298
-20,298
-20,298
-20,298
-20,298
-20,298
-20,298
-20,294
-20,294
-20,294
-20,294
-20,294
-20,294
-20,294
-20,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-19,294
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-18,290
-17,290
-17,290
-17,290
-17,290
-17,286
-17,286
-17,286
-17,286
-17,286
-17,286
-17,286
-17,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-16,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-15,286
-14,282
-14,282
-14,282
-14,282
-14,282
-14,282
-14,282
-14,282
-14,282
-14,282
-13,281
-13,281
-13,281
-13,281
-13,280
-13,280
-13,280
-13,280
-13,280
-13,280
-13,280
-13,280
-13,280
-13,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,280
-12,273
-11,273
-11,273
-11,273
-11,279
-11,279
-11,279
-11,279
-11,279
-11,273
-11,273
-11,273
-11,273
-11,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-10,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-9,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-8,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-7,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-6,273
-5,273
-5,273
-5,273
-5,273
-5,273
-5,271
-5,271
-5,271
-5,271
-5,271
-5,273
-5,273
-5,273
-5,273
-5,273
-5,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-4,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-3,271
-2,271
-2,271
-2,271
-2,271
-2,273
-2,273
-2,273
-2,273
-2,273
-2,271
-2,271
-2,271
-2,271
-2,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
-1,271
0,271
0,271
0,271
0,271
0,271
0,271
0,271
0,271
0,273
0,273
0,273
0,273
0,273
0,271
0,271
1,271
1,271
1,271
1,273
1,273
1,273
1,273
1,273
1,273
1,272
1,272
1,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
2,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
3,273
4,273
4,273
4,273
4,273
4,273
4,273
4,273
4,276
4,276
4,276
4,276
4,276
4,276
4,273
4,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
5,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
6,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
7,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
8,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,273
9,280
9,280
9,280
10,280
10,280
10,279
10,279
10,279
10,279
10,279
10,279
10,279
10,280
10,280
10,280
10,280
10,280
10,280
10,280
10,280
10,280
11,280
11,280
11,280
11,280
11,280
11,280
11,280
11,280
11,279
11,279
11,279
11,279
11,279
11,280
11,280
11,280
11,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,280
12,286
12,286
12,286
12,286
13,280
13,280
13,280
13,280
13,280
13,280
13,285
13,285
13,285
13,285
13,286
13,286
13,286
13,286
13,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
14,286
15,286
15,286
15,286
15,290
15,290
15,290
15,290
15,290
15,290
15,290
15,290
15,290
15,290
15,290
15,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
16,290
17,290
17,290
17,290
17,294
17,294
17,294
17,294
17,294
17,294
17,294
17,294
18,294
18,294
18,294
18,294
18,294
18,294
18,294
18,294
18,294
18,298
18,298
18,298
18,298
18,298
18,298
19,298
19,298
19,298
19,298
19,308
19,308
19,308
19,308
19,308
19,308
19,308
19,322
19,322
20,322
20,322
20,322
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
20,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
21,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
22,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
23,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
24,326
25,326
25,326
25,326
25,326
25,326
25,326
25,326
25,326
25,326
25,321
25,321
25,321
25,321
25,321
25,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
26,321
27,321
27,321
27,321
27,321
27,326
27,326
27,326
27,326
27,326
27,326
27,321
27,321
27,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
28,321
29,321
29,321
29,321
29,321
29,321
29,321
29,326
29,326
29,326
29,326
29,326
29,326
29,326
29,326
29,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,326
30,321
30,321
30,321
30,321
30,321
31,321
31,321
31,321
31,321
31,321
31,328
31,328
31,328
31,328
31,328
31,328
31,328
31,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
32,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
33,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
34,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
35,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
36,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
37,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
38,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
39,328
