Angle (deg), Distance (mm)
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-40,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-39,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-38,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-37,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-36,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-35,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-34,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-33,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-32,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-31,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-30,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-29,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-28,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-27,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-26,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-25,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-24,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-23,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-22,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-21,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-20,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-19,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-18,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-17,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-16,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-15,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-14,78
-13,75
-13,75
-13,75
-13,75
-13,75
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-13,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-12,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-11,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-10,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-9,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-8,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-7,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-6,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-5,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-4,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-3,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-2,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
-1,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
0,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
1,78
2,78
2,78
2,78
2,78
2,78
2,78
2,78
2,78
2,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
3,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
4,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
5,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
6,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
7,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
8,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
9,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
10,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
11,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
12,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
13,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
14,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
15,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
16,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
17,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
18,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
19,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
20,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
21,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
22,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
23,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
24,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
25,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
26,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
27,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
28,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
29,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
30,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
31,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
32,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
33,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
34,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
35,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
36,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
37,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
38,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
39,78
40,78
