Angle (deg), Distance (mm)
-40,674
-40,674
-40,674
-40,674
-40,674
-40,674
-40,674
-40,674
-40,672
-40,675
-40,675
-40,675
-40,675
-40,675
-40,675
-40,675
-40,672
-40,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-39,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,672
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-38,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,674
-37,624
-36,624
-36,624
-36,624
-36,624
-36,624
-36,670
-36,670
-36,670
-36,670
-36,670
-36,670
-36,626
-36,626
-36,626
-36,626
-36,626
-36,626
-36,607
-36,607
-35,607
-35,607
-35,590
-35,590
-35,590
-35,590
-35,590
-35,590
-35,581
-35,581
-35,581
-35,581
-35,590
-35,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-34,590
-33,586
-33,586
-33,586
-33,586
-33,578
-33,578
-33,578
-33,578
-33,578
-33,574
-33,574
-33,574
-33,574
-32,574
-32,574
-32,578
-32,578
-32,578
-32,578
-32,578
-32,578
-32,578
-32,582
-32,582
-32,582
-32,582
-32,582
-32,578
-32,578
-31,578
-31,578
-31,578
-31,578
-31,578
-31,567
-31,567
-31,559
-31,559
-31,559
-31,559
-31,567
-30,567
-30,567
-30,567
-30,567
-30,573
-30,573
-30,573
-30,573
-30,580
-30,580
-30,580
-30,580
-30,580
-30,580
-29,572
-29,572
-29,572
-29,572
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,563
-29,569
-28,569
-28,569
-28,569
-28,569
-28,569
-28,571
-28,571
-28,571
-28,571
-28,571
-28,571
-28,574
-28,574
-28,574
-27,574
-27,574
-27,574
-27,569
-27,569
-27,569
-27,569
-27,569
-27,574
-27,574
-27,574
-27,574
-27,574
-27,582
-27,582
-26,582
-26,582
-26,582
-26,582
-26,582
-26,670
-26,670
-26,670
-26,670
-26,670
-26,670
-26,616
-26,616
-26,616
-26,616
-26,616
-25,328
-25,328
-25,328
-25,328
-25,328
-25,328
-25,321
-25,321
-25,321
-25,321
-25,321
-25,321
-25,321
-25,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,321
-24,326
-24,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-23,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-22,326
-21,326
-21,326
-21,326
-21,326
-21,321
-21,321
-21,321
-21,321
-21,321
-21,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-20,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-19,321
-18,321
-18,321
-18,321
-18,324
-18,324
-18,324
-18,324
-18,321
-18,321
-18,321
-18,321
-18,321
-18,321
-17,321
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-17,326
-16,326
-16,326
-16,326
-16,326
-16,326
-16,338
-16,338
-16,338
-16,689
-16,689
-16,689
-16,689
-15,689
-15,580
-15,580
-15,580
-15,580
-15,580
-15,580
-15,580
-15,580
-15,573
-15,573
-15,573
-15,573
-15,573
-15,573
-14,573
-14,573
-14,573
-14,573
-14,573
-14,567
-14,567
-14,567
-14,567
-14,567
-14,563
-13,563
-13,563
-13,563
-13,563
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-13,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,559
-12,555
-12,555
-11,555
-11,555
-11,555
-11,555
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-11,326
-10,326
-10,326
-10,326
-10,326
-10,326
-10,326
-10,326
-10,326
-10,326
-10,326
