Angle (deg), Distance (mm)
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-40,181
-39,181
-39,181
-39,181
-39,181
-39,181
-39,181
-39,181
-39,181
-39,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-38,181
-37,181
-37,181
-37,181
-37,181
-37,181
-37,181
-37,181
-37,181
-37,181
-37,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-36,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-35,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-34,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-33,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-32,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-31,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-30,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-29,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-28,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-27,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-26,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-25,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-24,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-23,181
-22,181
-22,181
-22,181
-22,181
-22,181
-22,181
-22,181
-22,181
-22,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-21,181
-20,181
-20,181
-20,181
-20,181
-20,181
